"Motivo del rechazo";"Campaña";"Fecha de presupuesto";"Nº documento";"Tercero";"Descripción";"Imp. total líneas";"Importe total";"Proyecto";"Estado doc.";"Coste Materiales Previstos";"Horas Previstas";"Creado por"
"";"";"01-10-2025";"PT/25971";"LOUIS VUITTON";"W5 XMAS 2025";30666,00;37105,86;"";"Cerrado - Pedido creado";2500;350;"MARIA ANTON DUARTE"
"NO TIENEN PRESUPUESTO";"";"30-09-2025";"PT/25970";"IDONEA COMUNICACION, S.L.";"EVENTO SEPHORA SINGLE'S DAY";8488,24;10270,77;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"";"";"03-09-2025";"PT/25969";"SAFILO SPAIN S.L.";"CAMBIO CERRADURA E IMAGENES OPTICA UNIVERSITARIA GOYA ";165,00;199,65;"";"Cerrado - Pedido creado";100;8;"BELEN ESPEJO"
"";"";"30-09-2025";"PT/25968";"ORANGE ESPAGNE";"ID 35688 ALUAL ALLENDE, CANGAS DE NARCEA, ASTURIAS ...... A MEDIDA";1774,78;2147,48;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"30-09-2025";"PT/25967";"ORANGE ESPAGNE";"ID 60502 A GUARDA COMUNICACIONES, A GUARDA, PONTEVEDRA ...... A MEDIDA";1785,60;2160,58;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"29-09-2025";"PT/25966";"SUAREZ";"TRASERAS JACOB & CO + LOGOS";232,40;281,20;"250411-250417 - SUAREZ - TRASERA JACOB & CO + LOGO";"Cerrado - Pedido creado";53;2;"MARIA"
"";"";"29-09-2025";"PT/25965";"SUAREZ";"TRASERA JACOB & CO PUENTE ROMANO PLATA";147,23;178,15;"250411-250417 - SUAREZ - TRASERA JACOB & CO + LOGO";"Cerrado - Pedido creado";22;2;"MARIA"
"";"";"29-09-2025";"PT/25964";"COCONUT TIME EXPERIENCES, S.L.";"PVC SOPORTE NOVEDAD";105,28;127,39;"250413 - COCONUT - CARTEL NOVEDAD";"Cerrado - Pedido creado";16;1;"AURELIO PULIDO"
"";"";"29-09-2025";"PT/25963";"WASABI COMUNICACION INTEGRAL";"ELEMENTOS WIZINK";154385,65;186806,64;"250432 - WASABI - ELEMENTOS WIZINK";"Cerrado - Pedido creado";37680;450;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"29-09-2025";"PT/25962";"COCONUT TIME EXPERIENCES, S.L.";"IQOS DORADO";14092,09;17051,43;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"29-09-2025";"PT/25961";"COCONUT TIME EXPERIENCES, S.L.";"VACHERON EVENT FOUR SEASON";9624,86;11646,08;"250373/425 - COCONUT - ESCAPARATE VACHERON";"Cerrado - Pedido creado";1850;30;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"29-09-2025";"PT/25960";"HERMES IBERICA";"MONTAJE Y DESMONTAJE ESCAPE ROOM ORTEGA Y GASSET NOV 2025";6162,00;7456,02;"";"Cerrado - Rechazado";132;96;"ADALBERTO"
"";"";"29-09-2025";"PT/25959";"IDONEA COMUNICACION, S.L.";"EXTRA VINILOS EVENTO NEW BALANCE";225,00;272,25;"250368-410 - IDONEA - EVENTO NEW BALANCE";"Cerrado - Pedido creado";45;2;"LAURA MUÑOZ"
"";"";"29-09-2025";"PT/25958";"URIBETRUCKS S.L.";"CAMION EVENTO";1537,44;1860,30;"";"Cerrado - Pedido creado";1;1;"MARIANO LUCAS"
"";"";"25-09-2025";"PT/25957";"GIORGIO ARMANI RETAIL SUCURSAL";"REPARACION ROTULO BCN";1322,00;1599,62;"";"Cerrado - Pedido creado";420,8;5;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"25-09-2025";"PT/25956";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE VALENTINO LISBOA";61696,00;74652,16;"";"Cerrado - Rechazado";17000;800;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"25-09-2025";"PT/25955";"EUREST COLECTIVIDADES, S.L.";"EDIFICIO HUAWEI LAS TABLAS";4992,89;6041,40;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"25-09-2025";"PT/25954";"BENDITAS PRODUCCIONES ESCENICAS, S.L.";"PHOTOCALL";541,42;655,12;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"25-09-2025";"PT/25953";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EVENTO MIU MIU";16448,06;19902,15;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"TIENEN OTRA OFERTA MEJOR";"";"25-09-2025";"PT/25952";"ASTAMATITI SL";"VITRINA";23258,40;28142,66;"";"Cerrado - Rechazado";1;1;"BELEN ESPEJO"
"";"";"22-09-2025";"PT/25951";"ORANGE ESPAGNE";"ID 19717 PHONINO'S, SEVILLA  ...... A MEDIDA";1839,20;2225,43;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"25-09-2025";"PT/25950";"FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA";"UNIVERSIDAD FRANCISCO DE VITORIA ROTULOS METACRILATO";1506,20;1822,50;"250416 - UFV - ROTULOS METACRILATO";"Cerrado - Pedido creado";150;10;"AURELIO PULIDO"
"";"";"24-09-2025";"PT/25949";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EVENTO PRADA MADRID";55082,74;66650,12;"250407 - WOZERE - PRADA EVENTO 2025";"Cerrado - Pedido creado";13500;520;"LAURA MUÑOZ"
"";"";"24-09-2025";"PT/25948";"SUAREZ";"ESCAPARATES PACKAGING";5514,50;6672,55;"250412 - SUAREZ - ESCAPARATES PACKAGING";"Cerrado - Pedido creado";663;100;"MARIA"
"";"";"24-09-2025";"PT/25947";"BURBERRY SPAIN RETAIL";"OUTWEAR CAMPAIGN - WINDOWS BARCELONA OCTUBRE";5224,81;6322,02;"240182 - BURBERRY - GRAFICA BARCELONA MARZO";"Cerrado - Pedido creado";780;6;"MARIA ANTON DUARTE"
"TIENEN OTRA OFERTA MEJOR";"";"24-09-2025";"PT/25946";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"PHOTO CALL HOFF";5544,71;6709,10;"";"Cerrado - Rechazado";1066;79;"ADALBERTO"
"";"";"24-09-2025";"PT/25945";"ERICH BRODHEIM";"OUTWEAR CAMPAIGN - PORTO WINDOWS OCTOBER 25";2073,31;2350,51;"240182 - BURBERRY - GRAFICA BARCELONA MARZO";"Cerrado - Pedido creado";185;0;"MARIA ANTON DUARTE"
"";"";"24-09-2025";"PT/25944";"ERICH BRODHEIM";"OUTWEAR CAMPAIGN - LISBON WINDOWS OCTOBER 25";1528,72;1799,62;"";"Cerrado - Pedido creado";330;0;"MARIA ANTON DUARTE"
"";"";"24-09-2025";"PT/25943";"360 GRADOS ACTIVA, S.L.";"QUESITOS RULETA";131,68;159,33;"250418 - 360 GRADOS ACTIVA - QUESITOS RULETA";"Cerrado - Pedido creado";12;2;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"";"24-09-2025";"PT/25942";"OMGLOBAL CREATIVE STUDIO, SL";"PERCHERO COLGANTE BARCELONA";1882,26;2277,53;"";"Cerrado - Rechazado";820;0;"AURELIO PULIDO"
"";"";"24-09-2025";"PT/25941";"ERALOGISTIC PERSONAL";"AMPLIACION OFICINAS VANTAGE TOWERS FASE 2 ";657,44;795,50;"250348/87/404/511 - ERAL - OFICINA VANTAGE TOWERS";"Cerrado - Pedido creado";95;0;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"23-09-2025";"PT/25940";"ZEL21 AGENCY SL (NO UTILIZAR)";"NIKE-CLUC F-1606";6925,69;8380,08;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"23-09-2025";"PT/25939";"MARKETING DIRECTO";"EVENTO DOSIS CASA DE BURGOS";0,00;0,00;"240212 - MARKETING DIRECTO - EVENTOS 2024";"Cerrado - Pedido creado";352;0;"AURELIO PULIDO"
"";"";"23-09-2025";"PT/25938";"SUAREZ";"CAJAS COLLARES";550,00;665,50;"250399 - SUAREZ - CAJAS COLLARES";"Cerrado - Pedido creado";113,25;10;"MARIA"
"";"";"09-09-2025";"PT/25937";"ESMA EVENTS S.L.";"ARCOS PdH";1360,00;1645,60;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";0;6;"BELEN ESPEJO"
"";"";"08-09-2025";"PT/25936";"ESMA EVENTS S.L.";"PUENTE Y METACRILATO ESPEJO ROSA ISABEL SANCHIS";14851,41;17970,21;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";3890;32;"BELEN ESPEJO"
"";"";"03-09-2025";"PT/25935";"ESMA EVENTS S.L.";"ESTRUCTURA TOTEMS SIMORRA";8612,08;10420,62;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";360;32;"BELEN ESPEJO"
"";"";"28-08-2025";"PT/25934";"ESMA EVENTS S.L.";"PALACIO CRISTAL PdH";17614,35;21313,36;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";7910;16;"BELEN ESPEJO"
"";"";"26-08-2025";"PT/25933";"ESMA EVENTS S.L.";"AMPLIACION PALACIO DE CRISTAL PdH";408,42;494,19;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";90;6;"BELEN ESPEJO"
"";"";"03-09-2025";"PT/25932";"ESMA EVENTS S.L.";"ESPEJOS ADOLFO DOMINGUEZ";9800,37;11858,45;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";2380;20;"BELEN ESPEJO"
"";"";"15-09-2025";"PT/25931";"ESMA EVENTS S.L.";"METACRILATO REDONDO PdH";165,20;199,89;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";25;1;"BELEN ESPEJO"
"";"";"15-09-2025";"PT/25930";"ESMA EVENTS S.L.";"SEÑALETICA MESAS PdH ";85,32;103,24;"250359/60/61/62/63/65/66/71/72 - ESMA - DESFILES VARIOS";"Cerrado - Pedido creado";18;2;"BELEN ESPEJO"
"";"";"23-09-2025";"PT/25929";"URIBETRUCKS S.L.";"BOLIGRAFOS";280,00;338,80;"";"Cerrado - Pedido creado";216;1;"BELEN ESPEJO"
"NO TIENEN PRESUPUESTO";"";"23-09-2025";"PT/25928";"SPORTS EMOTION HUB, S.L.";"PANTALLAS LED ESCAPARATES";34621,24;41891,70;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"23-09-2025";"PT/25927";"SERINT GRUPO HMY";"VINILO DE OBRA ALVARO MORENO TALAVERA";732,00;885,72;"";"Cerrado - Rechazado";;12;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"22-09-2025";"PT/25926";"360 ADVERTISING S.L.";"EVENTO METRO DE MADRID";6112,25;7395,82;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"22-09-2025";"PT/25925";"360 ADVERTISING S.L.";"EVENTO METRO DE MADRID";15726,02;19028,48;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"22-09-2025";"PT/25924";"ORANGE ESPAGNE";"ID 55251 EL PORTAL MULTI ALGEMESI, ALGEMESI, VALENCIA  ...... A MEDIDA";1666,48;2016,44;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"22-09-2025";"PT/25923";"ORANGE ESPAGNE";"ID 26954 ABAIR, OURENSE ...... A MEDIDA";1484,93;1796,77;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"";"22-09-2025";"PT/25922";"COCONUT TIME EXPERIENCES, S.L.";"VACHERON EVENT FOUR SEASON";9737,94;11782,91;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"";"22-09-2025";"PT/25921";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EVENTO PRADA MADRID";55417,33;67054,97;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"";"";"19-09-2025";"PT/25920";"QUIERO LA DATA, S.L.";"ARREGLO MESA DJ AMBIENTACION JD ";612,01;740,53;"250390 - QUIERO LA DATA - ARREGLO MESA";"Cerrado - Pedido creado";90;8;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"22-09-2025";"PT/25919";"FIRST ENERGIES CONSUSULTORIA ENERGETICA, S.L.";"OBRA OFICINAS VALDEMORO";102076,04;123512,01;"";"Cerrado - Rechazado";1;1;"MARIA"
"";"";"18-09-2025";"PT/25918";"IPMARK";"BEST IN AUTO SEPTIEMBRE";0,00;0,00;"250003 - IPMARK - EVENTOS 2025";"Cerrado - Pedido creado";110;2;"AURELIO PULIDO"
"";"";"18-09-2025";"PT/25917";"IPMARK";"HEAD OF DIGITAL";0,00;0,00;"250003 - IPMARK - EVENTOS 2025";"Cerrado - Pedido creado";68;2;"AURELIO PULIDO"
"";"";"18-09-2025";"PT/25916";"COCONUT TIME EXPERIENCES, S.L.";"INCREMENTO DESMONTAJE EN DOMINGO";950,00;1149,50;"";"Cerrado - Pedido creado";390;7;"AURELIO PULIDO"
"";"";"18-09-2025";"PT/25915";"CONEXION BORN, S.L";"CORPOREAS PANEL";571,09;691,02;"250391 - CONEXION BORN - CORPOREAS";"Cerrado - Pedido creado";88;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"18-09-2025";"PT/25914";"SERINT GRUPO HMY";"SERINT - HMY - PAUSA & PLAY";6560,60;7938,33;"";"Cerrado - Rechazado";1992;29;"CRISTINAC"
"NO TIENEN PRESUPUESTO";"";"18-09-2025";"PT/25912";"GRUPO DREAM";"CAJAS DE LUZ";28186,40;34105,54;"";"Cerrado - Rechazado";2588;16;"BELEN ESPEJO"
"TIENEN OTRA OFERTA MEJOR";"";"18-09-2025";"PT/25911";"SERINT GRUPO HMY";"VINILO DE OBRA ALVARO MORENO TALAVERA";1776,00;2148,96;"250381 - SERINT - VINILO ALVARO MORENO TALAVERA";"Cerrado - Pedido creado";320;20;"ADALBERTO"
"DUPLICADO";"";"18-09-2025";"PT/25910";"INSTITUCION FERIAL DE MADRID";"ENTREGA ESTRUCTURAS ESPEJOS";630,00;762,30;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"18-09-2025";"PT/25909";"JOHNNY ON THE SPOT, S.L.";"VINILOS PLAZA MAYOR CAROLINA HERRERA";2118,18;2563,00;"250376/82 - JOHNNY ON THE SPOT - DESFILE PLAZA MAYOR";"Cerrado - Pedido creado";320;1;"AURELIO PULIDO"
"";"";"17-09-2025";"PT/25908";"ORANGE ESPAGNE";"ID 53653 L&J PHONE, TOMELLOSO, CIUDAD REAL  ...... A MEDIDA";2552,58;3088,62;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"17-09-2025";"PT/25907";"ORANGE ESPAGNE";"ID 56425 MI ZONE, PASAIA, GUIPÚZCOA ...... A MEDIDA";1866,58;2258,56;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"";"17-09-2025";"PT/25906";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EVENTO PRADA MADRID";62949,94;76169,43;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"";"";"16-09-2025";"PT/25905";"SUAREZ";"MUESTRA ESCAPARATES PACKAGING";0,00;0,00;"250374 - SUAREZ - MUESTRA ESCAPARATES PACKAGING";"Cerrado - Pedido creado";1;1;"MARIA"
"DUPLICADO";"";"16-09-2025";"PT/25904";"AREA COMUNICACION GLOBAL DIGITAL, S.L.";"EVENTO SFERA AREA 30 V3";11746,00;14212,66;"";"Cerrado - Rechazado";5566;114;"ADALBERTO"
"";"";"16-09-2025";"PT/25903";"JOHNNY ON THE SPOT, S.L.";"DESFILE PLAZA MAYOR";370,74;448,60;"250376/82 - JOHNNY ON THE SPOT - DESFILE PLAZA MAYOR";"Cerrado - Pedido creado";1;1;"AURELIO PULIDO"
"";"";"16-09-2025";"PT/25902";"ORANGE ESPAGNE";"MASORANGE.- REPOSICION - ENVÍO MATERIALES IDENTIFICACIÓN BÁSICA.";4223,80;5110,80;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"23-09-2025";"PT/25901";"HERMES IBERICA";"SONIDO TRUNK SHOW ORTEGA OCTUBRE 2025";5977,50;7232,78;"";"Cerrado - Pedido creado";3985;1;"ADALBERTO"
"DUPLICADO";"";"15-09-2025";"PT/25900";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ID 57596 ANCORE ZARAUTZ, ZARAUTZ, GUIPÚZCOA ...... A MEDIDA";1683,68;2037,25;"";"Cerrado - Rechazado";1;1;"PILAR GOMEZ"
"DUPLICADO";"";"15-09-2025";"PT/25899";"ESMA PROYECTOS";"SEÑALETICA MESAS PdH ";85,32;103,24;"";"Cerrado - Rechazado";18;2;"AURELIO PULIDO"
"";"";"15-09-2025";"PT/25898";"ORANGE ESPAGNE";"ID 43682 MI MOVIL ASTILLEROS, ASTILLERO, CANTABRIA ...... A MEDIDA";2151,05;2602,77;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"";"15-09-2025";"PT/25897";"ESMA PROYECTOS";"METACRILATO REDONDO PdH";165,20;199,89;"";"Cerrado - Rechazado";25;1;"AURELIO PULIDO"
"";"";"12-09-2025";"PT/25896";"ORANGE ESPAGNE";"2º PROTOTIPO BANDEROLA SUPREME PVC 4 MARCAS";174,09;210,65;"";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"";"12-09-2025";"PT/25895";"SUAREZ";"PLANTILLA COLLIER BILBAO";121,50;147,02;"250370 - SUAREZ - PLANTILLA COLLIER BILBAO";"Cerrado - Pedido creado";15;3;"MARIA"
"";"";"12-09-2025";"PT/25894";"CHEIL SPAIN S.L.";"ACTIVACION PICTIONARY";16968,86;20532,32;"250378 - CHEIL - ACTIVACION PICTIONARY";"Cerrado - Pedido creado";1306;50;"MARIA"
"";"";"17-09-2025";"PT/25893";"HERMES IBERICA";"TRUNK SHOW ORTEGA y PASEO OCT  25";18055,25;21846,85;"";"Cerrado - Pedido creado";2800;128;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"11-09-2025";"PT/25892";"SASMAT RETAIL, S.L - PDPAOLA";"PDPAOLA - B2B SPACE REFACTOR ";9720,00;11761,20;"";"Cerrado - Rechazado";1;1;"CRISTINAC"
"";"";"11-09-2025";"PT/25891";"IPMARK";"BEST IN TRAVEL SEPTIEMBRE";0,00;0,00;"250003 - IPMARK - EVENTOS 2025";"Cerrado - Pedido creado";110;2;"AURELIO PULIDO"
"DUPLICADO";"";"11-09-2025";"PT/25890";"LOUIS VUITTON";"W5 XMAS OCTUBRE 2025";30029,00;36335,09;"";"Cerrado - Rechazado";2500;350;"MARIA ANTON DUARTE"
"";"";"10-09-2025";"PT/25889";"IDONEA COMUNICACION, S.L.";"EVENTO NEW BALANCE MADRID MELAMINA";38955,36;47135,99;"250368-410 - IDONEA - EVENTO NEW BALANCE";"Cerrado - Pedido creado";9000;295;"ADALBERTO"
"DUPLICADO";"";"10-09-2025";"PT/25888";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP VALENTINO";82804,20;100193,08;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"NO TIENEN PRESUPUESTO";"";"10-09-2025";"PT/25886";"INTERNATIONAL BON TON TOYS B.V";"FURNITURE EL CORTE INGLES";92138,24;92138,24;"";"Cerrado - Rechazado";55000;175;"CRISTINAC"
"SIN RESPUESTA DE CLIENTE";"";"10-09-2025";"PT/25885";"LABELIUM SPAIN, S.L.";"ROLL UP";124,68;150,86;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"";"26-08-2025";"PT/25884";"ESMA PROYECTOS";"AMPLIACION PALACIO DE CRISTAL PdH";408,42;494,19;"";"Cerrado - Rechazado";90;6;"AURELIO PULIDO"
"";"";"10-09-2025";"PT/25883";"SUAREZ";"PROTOTIPO TAQUERÍA HORIZONTAL";629,75;762,00;"250364 - SUAREZ - PROTOTIPO TAQUERIA HORIZONTAL";"Cerrado - Pedido creado";223;10;"MARIA"
"DUPLICADO";"";"10-09-2025";"PT/25882";"VIVELIBRE, S.L.";"TOTEMS SMART WATCH LACADO";38075,61;46071,49;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"DUPLICADO";"";"09-09-2025";"PT/25881";"ESMA PROYECTOS";"ARCOS PdH";1360,00;1645,60;"";"Cerrado - Rechazado";0;6;"AURELIO PULIDO"
"DUPLICADO";"";"08-09-2025";"PT/25880";"AREA COMUNICACION GLOBAL DIGITAL, S.L.";"EVENTO SFERA AREA 30";26696,50;32302,77;"";"Cerrado - Rechazado";5566;114;"ADALBERTO"
"DUPLICADO";"";"08-09-2025";"PT/25879";"ESMA PROYECTOS";"PUENTE Y METACRILATO ESPEJO ROSA ISABEL SANCHIS";14851,41;17970,21;"";"Cerrado - Rechazado";3890;32;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"05-09-2025";"PT/25878";"LAST LAP S.L.";"PROBADORES PUNTO DE VENTA";3454,94;4180,48;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"17-10-2025";"PT/25877";"SUAREZ";"ESCAPARATES NAVIDAD 2025";112589,00;136232,69;"250463 - SUAREZ - NAVIDAD 25";"Cerrado - Pedido creado";62735;800;"LAURA MUÑOZ"
"";"";"05-09-2025";"PT/25876";"SUAREZ";"TRASERA SIMPLE JACOB & CO SERRANO 42";68,11;82,41;"250321-353-357 - SUAREZ - TRASERAS JACOB & CO";"Cerrado - Pedido creado";12;2;"MARIA"
"TIENEN OTRA OFERTA MEJOR";"";"04-09-2025";"PT/25875";"OATLY SPAIN, S.L.U.";"ESPACIO ECI SAN CHINARRO AMPLIACION";697,19;843,60;"";"Cerrado - Rechazado";295;3;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"03-09-2025";"PT/25874";"VALUE RETAIL MANAGEMENT SPAIN, S.L.";"EVENTO DIA DE LOS MUERTOS";15911,50;19252,92;"";"Cerrado - Rechazado";3800;50;"ADALBERTO"
"";"";"05-09-2025";"PT/25873";"SUAREZ";"PROTOTIPO CANDELABROS GIFTING NAVIDAD";75,00;90,75;"250398 - SUAREZ - PROTOTIPO CANDELABROS GIFTING NAVIDAD";"Cerrado - Pedido creado";30;1;"MARIA"
"";"";"03-09-2025";"PT/25872";"SAFILO SPAIN S.L.";"CAMBIO CERRADURA E IMAGENES OPTICA UNIVERSITARIA GOYA ";659,00;797,39;"";"Cerrado - Pedido creado";100;8;"ADALBERTO"
"";"";"05-09-2025";"PT/25871";"HERMES IBERICA";"DESMONTAJE Y MONTAJE DE ESCAPARATES PASEO DE GRACIA SEP 2025";7103,00;8594,63;"";"Cerrado - Pedido creado";1310;80;"ADALBERTO"
"DUPLICADO";"";"03-09-2025";"PT/25870";"ESMA PROYECTOS";"ESPEJOS ADOLFO DOMINGUEZ";9800,37;11858,45;"";"Cerrado - Rechazado";2380;20;"AURELIO PULIDO"
"DUPLICADO";"";"03-09-2025";"PT/25869";"ESMA PROYECTOS";"ESTRUCTURA TOTEMS SIMORRA";8612,08;10420,62;"";"Cerrado - Rechazado";360;32;"AURELIO PULIDO"
"DUPLICADO";"";"03-09-2025";"PT/25868";"ESMA PROYECTOS";"METACRILATO ROSA ISABEL SANCHIS";3402,36;4116,86;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"03-09-2025";"PT/25867";"ESMA PROYECTOS";"CARTA XXL YOLAN CRIS ";2393,23;2895,81;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"03-09-2025";"PT/25866";"EMEDEC";"AMPLIACIONES OBRA";12857,16;15557,16;"250300 - EMEDEC - RENOVACIÓN OFICINAS";"Cerrado - Pedido creado";9927,77;1;"SOFIA QUINTAS"
"TIENEN OTRA OFERTA MEJOR";"";"03-09-2025";"PT/25865";"CONSTRUCCIONES RUESMA, S.A";"LEGENDS RMOS PUERTA DEL SOL 5 MADRID";60642,50;73377,43;"";"Cerrado - Rechazado";24257;0;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"03-09-2025";"PT/25864";"LAS FLORES DE ALBLANC, S.L.";"PODIUMS BLANCOS SEP 2025";1624,50;1965,65;"";"Cerrado - Rechazado";481;10;"ADALBERTO"
"DUPLICADO";"";"02-09-2025";"PT/25863";"COCONUT TIME EXPERIENCES, S.L.";"VACHERON EVENT FOUR SEASON";15986,53;19343,70;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"02-09-2025";"PT/25862";"SUAREZ";"TRASERA SIMPLE JACOB & CO PUENTE ROMANO";74,26;89,85;"250321-353-357 - SUAREZ - TRASERAS JACOB & CO";"Cerrado - Pedido creado";15;2;"MARIA"
"";"";"02-09-2025";"PT/25861";"STELLA MCCARTNEY SPAIN";"BACKLIGHT UV PRINTED MADRID BOUTIQUE'S LIGHTBOX SEP 2025";270,20;326,94;"";"Cerrado - Pedido creado";15;4;"ADALBERTO"
"";"";"02-09-2025";"PT/25860";"EMEDEC";"ELEMENTOS DECORATIVOS PARA OFICINA";1141,91;1381,71;"250300 - EMEDEC - RENOVACIÓN OFICINAS";"Cerrado - Pedido creado";522,72;1;"SOFIA QUINTAS"
"";"";"01-09-2025";"PT/25859";"CARRERA Y CARRERA MADRID, S.L.U.";"DISEÑO ESCAPARATES BARCELONA";17573,98;21264,52;"";"Cerrado - Pedido creado";4983,99;116;"SOFIA QUINTAS"
"";"";"29-08-2025";"PT/25858";"GIORGIO ARMANI RETAIL SUCURSAL";"CAMBIO LONA BARCELONA SEP 25";150,00;181,50;"";"Cerrado - Pedido creado";75;1;"ADALBERTO"
"";"";"29-08-2025";"PT/25857";"ERALOGISTIC PERSONAL";"OFICINAS VANTAGE TOWERS FASE 2 ";2811,04;3401,36;"250348/87/404/511 - ERAL - OFICINA VANTAGE TOWERS";"Cerrado - Pedido creado";210;4;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"";"29-08-2025";"PT/25856";"SERINT GRUPO HMY";"LEGENDS RMOS PUERTA DEL SOL 5 MADRID";60642,50;73377,43;"";"Cerrado - Rechazado";24257;;"MARIA ANTON DUARTE"
"TIENEN OTRA OFERTA MEJOR";"";"28-08-2025";"PT/25855";"GENCO PURA STUDIO, S.L.";"ESPACIO SIMULANDO CAJA FUERTE";4469,70;5408,34;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"28-08-2025";"PT/25854";"VAMPIRE STUDIO S.L.";"YO PRO CALLAO";41985,26;50802,16;"";"Cerrado - Rechazado";13570,5;50;"AURELIO PULIDO"
