"Motivo del rechazo";"Campaña";"Fecha de presupuesto";"Nº documento";"Tercero";"Descripción";"Imp. total líneas";"Importe total";"Proyecto";"Estado doc.";"Coste Materiales Previstos";"Horas Previstas";"Creado por"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26603";"ORANGE ESPAGNE";"ID57221 PAPELERÍA INFORMÁTICA GEMA, VILLAFRANCA DE LOS CABALLEROS, TOLEDO ...... A MEDIDA";1912,11;2313,65;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"23-04-2026";"PT/26602";"EUREST COLECTIVIDADES, S.L.";"PLANTILLA GRAFITTI INVERSO";471,80;570,88;"";"Borrador";;;"AURELIO PULIDO"
"";"";"23-04-2026";"PT/26601";"COCOTIME EVENTS S.L.";"MUEBLE KIKO MILANO";4244,50;5135,85;"";"Borrador";330,5;34;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"23-04-2026";"PT/26600";"IDONEA COMUNICACION, S.L.";"MATCH HOSPITALITY F1 ESPACIO NAKARI V3 VINILOS + ROTULOS";1590,30;1924,26;"";"Borrador";9500;280;"ADALBERTO"
"";"CLIENTE RECURRENTE";"23-04-2026";"PT/26599";"MARKETING DIRECTO";"CONECTADOS MAYO 2026";0,00;0,00;"GENERICO - MARKETING DIRECTO 2026";"Cerrado - Pedido creado";956,38;20;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"22-04-2026";"PT/26598";"SUAREZ";"CAJA GEMELOS";82,50;99,83;"260230 - SUAREZ - CAJA GEMELOS";"Cerrado - Pedido creado";1;2;"MARIA"
"";"CLIENTE RECURRENTE";"22-04-2026";"PT/26597";"ORANGE ESPAGNE";"ID 22894 BERCHUSMOVIL, LEÓN ...... REPETICIÓN METACRILATOS";0,00;0,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26596";"ORANGE ESPAGNE";"ID47406 PHONE AQUÍ LAS NAVAS, LAS NAVAS DEL MARQUÉS, ÁVILA ...... A MEDIDA";2387,82;2889,26;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"21-04-2026";"PT/26595";"IVAN CARLOS LOURENÇO DA SILVA";"CORPOREAS BLONDA";741,60;897,34;"";"Borrador";;;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26594";"TRAPIELLO MAS O MENOS S.L.";"ESCAPARATES HERMES LISBOA Y ORTEGA Y GASSET JUNIO 2026";8590,40;10394,38;"";"Cerrado - Pedido creado";4892;37;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26593";"ORANGE ESPAGNE";"ID61181 ELECTRICIDAD CHAN, PORTONOVO, PONTEVEDRA ...... A MEDIDA";2109,55;2552,56;"26ORANGE - ORANGE - SIMYO 2026";"Bajo evaluación";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26592";"ORANGE ESPAGNE";"ID52780 PCBYTE, SAN SEBASTIÁN, GUIPÚZKOA ...... A MEDIDA";1756,22;2125,03;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"CLIENTE RECURRENTE";"20-04-2026";"PT/26591";"IDONEA COMUNICACION, S.L.";"EVENTO LOREAL PROFESSIONNEL";28942,61;35020,56;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"19-04-2026";"PT/26590";"IDONEA COMUNICACION, S.L.";"MATCH HOSPITALITY F1 ESPACIO NAKARI";27428,39;33188,35;"";"Cerrado - Rechazado";1;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26589";"ORANGE ESPAGNE";"ID52606 BENAVENT TELECOM, PUEBLA DE VICAR, ALMERÍA ...... A MEDIDA";2380,06;2879,87;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26588";"IPMARK";"BEST!N BEAUTY ABRIL";0,00;0,00;"IPMARK26 - IPMARK - EVENTOS 2026";"Cerrado - Pedido creado";179,25;8;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26587";"NORTHSIX PRODUCTIONS AND EVENTS SPAIN, SLU";"DISPLAYS MANGO";26820,17;32452,41;"260243 - NORTHSIX - DISPLAYS MANGO";"Cerrado - Pedido creado";7329,65;208;"MARIA"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26586";"MURPH MEDIA GROUP, S.L.";"EVENTO TERESA HELBIG IBERIA";8727,04;10559,72;"260226 - MURPH - EVENTO TERESA HELBIG IBERIA";"Cerrado - Pedido creado";2091,74;94;"MARIA"
"";"RECOMENDACION";"25-03-2026";"PT/26585";"CANDEX SOLUTIONS SPAIN S.L.";"KIOSCO TOO FACED - EXTRA DESTRUCCION SSM 2026";336,47;407,13;"260182 - ESTEE LAUDER - DESTRUCCIÓN KIOSCO TOO FACE";"Cerrado - Pedido creado";193,42;1;"BELEN ESPEJO"
"";"MAIL INFO";"17-04-2026";"PT/26584";"MY GEISHA COSMETICOS, S.L.";"FABRICACION DE PEDESTALES";9144,36;11064,68;"";"Borrador";4949,14;6;"CRISTINAC"
"";"CLIENTE RECURRENTE";"16-04-2026";"PT/26583";"ORANGE ESPAGNE";"ID48312 OLE MI MOVIL NUEVA SEVILLA, CASTILLEJA DE LA CUESTA, SEVILLA ...... A MEDIDA";2511,27;3038,64;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"16-04-2026";"PT/26582";"ORANGE ESPAGNE";"ID 59029 SOFIPHONE, REDONDELA, PONTEVEDRA ...... REPRODUCCIÓN VINILO PUNTO 4 MOSTRADOR";0,00;0,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"16-04-2026";"PT/26581";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"MESA ALDEMARS PIGUET LISBOA";52358,00;63353,18;"";"Bajo evaluación";9000;500;"ADALBERTO"
"";"CLIENTE RECURRENTE";"16-09-2025";"PT/26580";"SUAREZ";"MUESTRA ESCAPARATES PRIMAVERA 2026";0,00;0,00;"XXXXS1 - SUAREZ - PRIMAVERA 2026";"Cerrado - Pedido creado";1;1;"MARIA"
"";"RECOMENDACION";"15-04-2026";"PT/26579";"GO POPUP & EVENTS, S.L.";"EVENTO MILFSHAKES";2768,87;3350,33;"260227 - GO POPUP - EVENTO MILFSHAKES";"Cerrado - Pedido creado";393,2;20;"MARIA"
"";"CLIENTE RECURRENTE";"15-04-2026";"PT/26578";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"REPETICIÓN VINILOS LEFTIES TURQUIA";0,01;0,01;"260117/118/120 - WOZERE - KIOSCOS LEFTIES";"Cerrado - Pedido creado";4;1;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"14-04-2026";"PT/26577";"JCDECAUX ESPAÑA";"BANCOS VALLADOLID";25954,64;31405,11;"";"Bajo evaluación";6445,84;8;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"14-04-2026";"PT/26576";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026 - FLORISTERIAS V2";6644,81;8040,22;"";"Cerrado - Rechazado";1420;85;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"13-04-2026";"PT/26575";"ORANGE ESPAGNE";"MASORANGE, TRANSPORTE Y MONTAJE PENÍNSULA COMPLETA";24200,00;29282,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"13-04-2026";"PT/26574";"MULTIOPTICAS";"EXPOSITOR CAREY";57,65;69,76;"";"Bajo evaluación";25;1;"MARIA"
"";"CLIENTE RECURRENTE";"10-04-2026";"PT/26573";"IPMARK";"MARKETING SUMMIT ABRIL 26";0,00;0,00;"IPMARK26 - IPMARK - EVENTOS 2026";"Cerrado - Pedido creado";265;8;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"10-04-2026";"PT/26572";"ORANGE ESPAGNE";"ID 52547 TU MOVIL LOW COST, UTRERA, SEVILLA ....... REVISITA PANEL TOP PREMIUM";315,90;382,24;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"10-04-2026";"PT/26571";"TWENTYFOUR SEVEN GROUP, S.L.";"PHOTOCALL VISA";2213,18;2677,95;"";"Borrador";;;"AURELIO PULIDO"
"";"ACCION COMERCIAL";"10-04-2026";"PT/26570";"THAO DISEÑO, SL";"TABLEROS DM 10 MM";70,00;84,70;"ESTRUCTURA 2026 - ESTRUCTURA 26";"Cerrado - Pedido creado";58,34;0;"CECILIA "
"";"CLIENTE RECURRENTE";"09-04-2026";"PT/26569";"GASTROTOUCH MARKETING SOLUTIONS, S.L.";"IMPRESION TELA";135,63;164,11;"";"Borrador";;;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"09-04-2026";"PT/26568";"ORANGE ESPAGNE";"ID 60792 TELEFONÍA EL PILAR, PILAR DE LA HORADADA, ALICANTE ...... A MEDIDA";2346,08;2838,76;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"09-04-2026";"PT/26567";"IDONEA COMUNICACION, S.L.";"KIOSCO SEPHORA DIA DE LA MADRE";17025,78;20601,19;"";"Cerrado - Rechazado";2620;166;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"09-04-2026";"PT/26566";"ORANGE ESPAGNE";"ELEMENTOS PARA STOCK: AÉREOS MASMOVIL, SIMYO, JAZZTEL, PEPEPHONE";4700,80;5687,97;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"CLIENTE RECURRENTE";"09-04-2026";"PT/26565";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026 - FLORISTERIAS";11840,45;14326,94;"";"Cerrado - Rechazado";2550;141;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"09-04-2026";"PT/26564";"ACTIMUNDI";"POP UP MAISON PERRIER CHIC";33115,02;40069,17;"";"Cerrado - Rechazado";2275,22;420;"AURELIO PULIDO"
"";"MAIL INFO";"08-04-2026";"PT/26563";"SARDINHA DE ARTESANATO, S.L.";"MIRA MIRA - Mesa y Panel expositor";2449,43;2963,81;"";"Bajo evaluación";543,24;25;"CRISTINAC"
"";"CLIENTE RECURRENTE";"24-03-2026";"PT/26561";"COCOTIME EVENTS S.L.";"PLV IQOS 500 ESTANCOS LEVIA";50095,00;60614,95;"";"Cerrado - Pedido creado";7735;793;"JULIA RODRIGUEZ LUTKINS"
"NO SE REALIZA EL PROYECTO";"MAIL INFO";"08-04-2026";"PT/26559";"VANQUISH MEDIA, S.L.";"STAND PALOMITAS";70276,00;85033,96;"";"Cerrado - Rechazado";21000;486;"ADALBERTO"
"";"CLIENTE RECURRENTE";"08-04-2026";"PT/26558";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026 - VERSION FINAL";68313,19;82658,96;"";"Cerrado - Pedido creado";15500;690;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"02-03-2026";"PT/26557";"HERMES IBERICA";"ESCAPARATES HERMES TRASERAS MARBELLA 2026";2576,00;3116,96;"";"Cerrado - Pedido creado";944;13;"MARIA ANTON DUARTE"
"";"";"07-04-2026";"PT/26556";"COCOTIME EVENTS S.L.";"AMPLIACION VINILOS ESCAPARATE IQOS SERRANO";233,28;282,27;"";"Borrador";;;"JULIA RODRIGUEZ LUTKINS"
"";"CLIENTE RECURRENTE";"07-04-2026";"PT/26555";"IDONEA COMUNICACION, S.L.";"POP UP SIPS & FLOWERS BALMORAL - NARANJAS DE LA CHINA";27471,73;33240,79;"";"Bajo evaluación";5350;318;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"07-04-2026";"PT/26554";"FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA";"MESA Y ATRIL SALON DE GRADOS";1174,80;1421,51;"260201 - UFV - MESA Y ATRIL SALON DE GRADOS";"Cerrado - Pedido creado";132;10;"MARIA"
"NO TIENEN PRESUPUESTO";"CLIENTE RECURRENTE";"06-04-2026";"PT/26553";"IDONEA COMUNICACION, S.L.";"PHOTOCALL WOW SERRANO";4074,81;4930,52;"";"Cerrado - Rechazado";880;38;"ADALBERTO"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26552";"COCOTIME EVENTS S.L.";"VINILOS BOUTIQUE IQOS BILBAO";2174,20;2630,78;"260199 - COCOTIME - IQOS BILBAO";"Cerrado - Pedido creado";398;25;"JULIA RODRIGUEZ LUTKINS"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26551";"SERINT GRUPO HMY";"MEDI-MARKET CC PARQUESUR_MADRID";7638,08;9242,08;"";"Bajo evaluación";820,63;87;"CRISTINAC"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26550";"J CHOO GERMANY GMBH";"TRANSPORT TRAVERTINO / NUT PODIUMS FRANKFURT";2808,00;2808,00;"";"Cerrado - Pedido creado";1950;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26549";"COCOTIME EVENTS S.L.";"IQOS FERIA SEVILLA";1298,64;1571,35;"260198 - COCOTIME - IQOS FERIA SEVILLA";"Cerrado - Pedido creado";198;12;"MARIA"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26548";"ORANGE ESPAGNE";"ENVÍO MATERIALES GESTIÓN DIRECTA NORTE, LOGROÑO, LA RIOJA
";54,00;65,34;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"CLIENTE RECURRENTE";"01-04-2026";"PT/26547";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026 - CAMBIOS V3";78358,16;94813,37;"";"Cerrado - Rechazado";6800;472;"ADALBERTO"
"";"CLIENTE RECURRENTE";"01-04-2026";"PT/26546";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE LEFTIES TURQUIA MONTAJE";2100,81;2541,98;"";"Cerrado - Pedido creado";680;85;"ADALBERTO"
"";"MAIL INFO";"01-04-2026";"PT/26545";"TDM EVENTOS, S.L.";"PHOTOCALL EVENTO 16 JUNIO ";19794,50;23951,35;"";"Bajo evaluación";3936,68;171;"MARIA"
"";"MAIL INFO";"31-03-2026";"PT/26544";"AV EXPRESS MEDIA SOUND, S.L.";"GREEN PATIO";3037,46;3675,33;"";"Borrador";593,17;29;"CRISTINAC"
"NO TIENEN PRESUPUESTO";"CLIENTE RECURRENTE";"31-03-2026";"PT/26543";"ZEL21 AGENCY S.L.";"STAND HAVAIANAS";30448,00;36842,08;"";"Cerrado - Rechazado";10213,6;84;"MARIA"
"";"CLIENTE RECURRENTE";"31-03-2026";"PT/26542";"COCOTIME EVENTS S.L.";"COCOTIME - ESTANCO FUENCARRAL";5819,93;7042,12;"";"Cerrado - Pedido creado";945,51;60;"JULIA RODRIGUEZ LUTKINS"
"DUPLICADO";"CLIENTE RECURRENTE";"31-03-2026";"PT/26541";"J CHOO GERMANY GMBH";"SUMMER WINDOWS 26 - MUNICH";5060,88;5060,88;"";"Cerrado - Pedido creado";2096;15;"MARIA ANTON DUARTE"
"DUPLICADO";"CLIENTE RECURRENTE";"31-03-2026";"PT/26540";"J.CHOO LIMITED";"SUMMER WINDOWS 26 - MUNICH";0,00;0,00;"";"Cerrado - Rechazado";341;30;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"31-03-2026";"PT/26539";"SASU FRANCHOO - JIMMY CHOO PARIS";"SUMMER WINDOWS 26 - CANNES & ST. HONORE";11737,50;11737,50;"";"Cerrado - Pedido creado";3538;83;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"31-03-2026";"PT/26538";"ITACHOO, S.R.L.";"SUMMER WINDOWS 26 - MILAN";4957,16;4957,16;"";"Cerrado - Pedido creado";1940;18;"MARIA ANTON DUARTE"
